Date,Price
28-Mar-18,2605.000 
27-Mar-18,2612.620 
26-Mar-18,2658.550 
23-Mar-18,2588.260 
22-Mar-18,2643.690 
21-Mar-18,2711.930 
20-Mar-18,2716.940 
19-Mar-18,2712.920 
16-Mar-18,2752.010 
15-Mar-18,2747.330 
14-Mar-18,2749.480 
13-Mar-18,2765.310 
12-Mar-18,2783.020 
09-Mar-18,2786.570 
08-Mar-18,2738.970 
07-Mar-18,2726.800 
06-Mar-18,2728.120 
05-Mar-18,2720.940 
02-Mar-18,2691.250 
01-Mar-18,2677.670 
28-Feb-18,2713.830 
27-Feb-18,2744.280 
26-Feb-18,2779.600 
23-Feb-18,2747.300 
22-Feb-18,2703.960 
21-Feb-18,2701.330 
20-Feb-18,2716.260 
16-Feb-18,2732.220 
15-Feb-18,2731.200 
14-Feb-18,2698.630 
13-Feb-18,2662.940 
12-Feb-18,2656.000 
09-Feb-18,2619.550 
08-Feb-18,2581.000 
07-Feb-18,2681.660 
06-Feb-18,2695.140 
05-Feb-18,2648.940 
02-Feb-18,2762.130 
01-Feb-18,2821.980 
31-Jan-18,2823.810 
30-Jan-18,2822.430 
29-Jan-18,2853.530 
26-Jan-18,2872.870 
25-Jan-18,2839.250 
24-Jan-18,2837.540 
23-Jan-18,2839.130 
22-Jan-18,2832.970 
19-Jan-18,2810.300 
18-Jan-18,2798.030 
17-Jan-18,2802.560 
16-Jan-18,2776.420 
12-Jan-18,2786.240 
11-Jan-18,2767.560 
10-Jan-18,2748.230 
09-Jan-18,2751.290 
08-Jan-18,2747.710 
05-Jan-18,2743.150 
04-Jan-18,2723.990 
03-Jan-18,2713.060 
02-Jan-18,2695.810 
29-Dec-17,2673.610 
28-Dec-17,2687.540 
27-Dec-17,2682.620 
26-Dec-17,2680.500 
22-Dec-17,2683.340 
21-Dec-17,2684.570 
20-Dec-17,2679.250 
19-Dec-17,2681.470 
18-Dec-17,2690.160 
15-Dec-17,2675.810 
14-Dec-17,2652.010 
13-Dec-17,2662.850 
12-Dec-17,2664.110 
11-Dec-17,2659.990 
08-Dec-17,2651.500 
07-Dec-17,2636.980 
06-Dec-17,2629.270 
05-Dec-17,2629.570 
04-Dec-17,2639.440 
01-Dec-17,2642.220 
30-Nov-17,2647.580 
